Exercise;Short YouTube Demonstration;In-Depth YouTube Explanation;Difficulty Level;Target Muscle Group ;Prime Mover Muscle;Secondary Muscle;Tertiary Muscle;Primary Equipment ;# Primary Items;Secondary Equipment;# Secondary Items;Posture;Single or Double Arm;Continuous or Alternating Arms ;Grip;Load Position (Ending);Continuous or Alternating Legs ;Foot Elevation;Combination Exercises;Movement Pattern #1;Movement Pattern #2;Movement Pattern #3;Plane Of Motion #1;Plane Of Motion #2;Plane Of Motion #3;Body Region;Force Type;Mechanics;Laterality;Primary Exercise Classification
Slider Pike ;https://youtu.be/vB803WCcQDk?si=hXUn4t23jP7Bn6R8;https://youtu.be/vB803WCcQDk?si=hXUn4t23jP7Bn6R8;Advanced;Abdominals;Rectus Abdominis;;;Sliders;2;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Stability Ball Pike;https://youtu.be/-ciDJCuTu3A?si=zpBNDJ0Pbp7YfJOm;https://youtu.be/-ciDJCuTu3A?si=zpBNDJ0Pbp7YfJOm;Advanced;Abdominals;Rectus Abdominis;;;Stability Ball;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;Feet Elevated;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Slider Wide Mountain Climber;https://youtu.be/d64d_6PE9fY;https://youtu.be/d64d_6PE9fY;Intermediate;Abdominals;Rectus Abdominis;Iliopsoas;Anterior Deltoids;Sliders;2;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Alternating;No Elevation;Single Exercise;Anti-Extension;Spinal Flexion;;Frontal Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Stability Ball Crunch;https://youtu.be/O4d3kd1ZLyc?si=xAr_I7jNLwrDm7lL;https://youtu.be/O4d3kd1ZLyc?si=xAr_I7jNLwrDm7lL;Beginner;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Stability Ball;1;None;0;Supine;No Arms;Continuous;Head Supported;No Load;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Stability Ball Feet Elevated Oblique Crunch;https://youtu.be/fZZK29dMla0?si=BQpGveG4S8WqLjzv;https://youtu.be/fZZK29dMla0?si=BQpGveG4S8WqLjzv;Beginner;Abdominals;Obliques;Rectus Abdominis;Iliopsoas;Stability Ball;1;None;0;Supine;No Arms;Continuous;Head Supported;No Load;Continuous;Feet Elevated;Single Exercise;Rotational;Spinal Flexion;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Stability Ball Kneeling Rollout;https://youtu.be/gi38qGKDzXY?si=XCqiGVtu482eeeTP;https://youtu.be/gi38qGKDzXY?si=XCqiGVtu482eeeTP;Beginner;Abdominals;Rectus Abdominis;Latissimus Dorsi;Serratus Anterior;Stability Ball;1;None;0;Prone;Double Arm;Continuous;Forearm;No Load;Continuous;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Stability Ball Single Leg Knee Tuck;https://youtu.be/fv6mxdkTT60?si=1AhvmIbGHoW_9tm9;https://youtu.be/fv6mxdkTT60?si=1AhvmIbGHoW_9tm9;Advanced;Abdominals;Rectus Abdominis;;;Stability Ball;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;Foot Elevated;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Stability Ball Single Leg Pike;https://youtu.be/7skasCMLRL8;https://youtu.be/7skasCMLRL8;Expert;Abdominals;Rectus Abdominis;;;Stability Ball;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;Foot Elevated;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Double Dumbbell Z Press;https://youtu.be/k_kXBEjURUA;https://youtu.be/k_kXBEjURUA;Novice;Shoulders;Anterior Deltoids;Triceps Brachii;Rectus Abdominis;Dumbbell;2;None;0;Seated Floor;Double Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Bodybuilding
Slider Double Kettlebell Overhead Reverse Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Sliders;1;Kettlebell ;2;Standing;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Romanian Deadlift;https://youtu.be/Cf3CaHui43A?si=dFPcP6jQEQECmXmY;https://youtu.be/Cf3CaHui43A?si=dFPcP6jQEQECmXmY;Beginner;Hamstrings;Biceps Femoris;Gluteus Maximus;Erector Spinae;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Lower Body;Pull;Compound;Bilateral;Bodybuilding
Single Arm Dumbbell Side Plank;https://youtu.be/2WxwO9E93wI;https://youtu.be/2WxwO9E93wI;Intermediate;Abdominals;Obliques;Rectus Abdominis;;Dumbbell;1;None;0;Side Plank;Single Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Anti-Lateral Flexion;;;Frontal Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Bodyweight Single Leg Glute Bridge;https://youtu.be/z4J188sFD4g;https://youtu.be/z4J188sFD4g;Novice;Glutes;Gluteus Maximus;Biceps Femoris;Obliques;Bodyweight;1;None;0;Single Leg Bridge;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Unilateral;Bodybuilding
Dumbbell Glute Bridge;https://youtu.be/JpDDoINkrog;https://youtu.be/JpDDoINkrog;Beginner;Glutes;Gluteus Maximus;Biceps Femoris;Erector Spinae;Dumbbell;1;None;0;Bridge;Double Arm;Continuous;Neutral;Hip Crease;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Bodybuilding
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension;https://youtu.be/cRCXEFhpBEI?si=6A2YpBsXM9WqT6rW;https://youtu.be/cRCXEFhpBEI?si=6A2YpBsXM9WqT6rW;Beginner;Glutes;Gluteus Maximus;Biceps Femoris;Obliques;Bodyweight;1;None;0;Single Leg Bridge;No Arms;Continuous;No Grip;No Load;Alternating;No Elevation;Single Exercise;Isometric Hold;Hip Extension;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Unilateral;Bodybuilding
Miniband Side Lying Clamshell;https://youtu.be/vSpyJR3dA7s?si=voo83Swm5kMbYEwl;https://youtu.be/vSpyJR3dA7s?si=voo83Swm5kMbYEwl;Beginner;Glutes;Gluteus Maximus;Gluteus Medius;Gluteus Minimus;Miniband;1;None;0;Side Lying;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip External Rotation;;;Transverse Plane;;;Lower Body;Other;Isolation;Unilateral;Bodybuilding
Miniband Ankle Side Lying Hip Abduction;https://youtu.be/bDvFd4EZt8M;https://youtu.be/bDvFd4EZt8M;Beginner;Abductors;Gluteus Medius;Gluteus Minimus;Tensor Fasciae Latae;Miniband;1;None;0;Side Lying;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Abduction;;;Frontal Plane;;;Lower Body;Other;Isolation;Unilateral;Bodybuilding
Miniband Bench Seated Hip Abduction;https://youtu.be/NeO0w4Jv4rs?si=zFKHnPvts0-arQgk;https://youtu.be/NeO0w4Jv4rs?si=zFKHnPvts0-arQgk;Beginner;Abductors;Gluteus Medius;Gluteus Minimus;Tensor Fasciae Latae;Miniband;1;Bench (Flat);1;Seated;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Abduction;;;Transverse Plane;;;Lower Body;Other;Isolation;Bilateral;Bodybuilding
Miniband Glute Bridge with Hip Abduction;https://youtu.be/oS3cYfl6Bns;https://youtu.be/oS3cYfl6Bns;Beginner;Glutes;Gluteus Maximus;Gluteus Medius;;Miniband;1;None;0;Bridge;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Extension;Hip Abduction;;Sagittal Plane;Transverse Plane;;Lower Body;Other;Compound;Bilateral;Bodybuilding
Stability Ball Hip Thrust;https://youtu.be/4azLK_5vOqY?si=bceKCFzhvhSW5jXe;https://youtu.be/4azLK_5vOqY?si=bceKCFzhvhSW5jXe;Beginner;Glutes;Gluteus Maximus;Biceps Femoris;Quadriceps Femoris;Stability Ball;1;None;0;Bridge;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Bodybuilding
Stability Ball Dumbbell Hip Thrust;https://youtu.be/x4lc8HocO1c;https://youtu.be/x4lc8HocO1c;Beginner;Glutes;Gluteus Maximus;Biceps Femoris;Quadriceps Femoris;Stability Ball;1;Dumbbell;1;Bridge;Double Arm;Continuous;Neutral;Hip Crease;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Bodybuilding
Bodyweight Frog Pump;https://youtu.be/7IVoH7E4rWo;https://youtu.be/7IVoH7E4rWo;Beginner;Glutes;Gluteus Maximus;Biceps Femoris;Adductor Magnus;Bodyweight;1;None;0;Bridge;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Unsorted*
Dumbbell Frog Pump;https://youtu.be/N6t2Fv0SKGc;https://youtu.be/N6t2Fv0SKGc;Beginner;Glutes;Gluteus Maximus;Biceps Femoris;Adductor Magnus;Dumbbell;1;None;0;Bridge;Double Arm;Continuous;Neutral;Hip Crease;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Unsorted*
Cable Glute Kickback;https://youtu.be/qJxwJ1e1HxI?si=5y999i_uPybFFDol;https://youtu.be/qJxwJ1e1HxI?si=5y999i_uPybFFDol;Novice;Glutes;Gluteus Maximus;;;Cable;1;None;0;Standing;No Arms;Continuous;Hand Assisted;Other;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Isolation;Unilateral;Bodybuilding
Bodyweight Single Leg Foot Elevated Glute Bridge;https://youtu.be/I7Zwyzr8COk;https://youtu.be/I7Zwyzr8COk;Novice;Glutes;Gluteus Maximus;Biceps Femoris;Obliques;Bodyweight;1;None;0;Single Leg Bridge;No Arms;Continuous;No Grip;No Load;Continuous;Foot Elevated;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Unilateral;Bodybuilding
Suspension Feet Elevated Glute Bridge;https://youtu.be/bZUGEwxZVks?si=GXDy3dTxYcWMuQpw;https://youtu.be/bZUGEwxZVks?si=GXDy3dTxYcWMuQpw;Novice;Glutes;Gluteus Maximus;Biceps Femoris;Erector Spinae;Suspension Trainer;1;None;0;Bridge;No Arms;Continuous;No Grip;No Load;Continuous;Feet Elevated;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Bodybuilding
Miniband Thigh Lateral Walk;https://youtu.be/34fVGXqWWs8;https://youtu.be/34fVGXqWWs8;Beginner;Abductors;Gluteus Medius;Gluteus Minimus;Tensor Fasciae Latae;Miniband;1;None;0;Walking;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Abduction;;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Miniband Ankle Lateral Walk;https://youtu.be/N4tkpDMlqCQ;https://youtu.be/N4tkpDMlqCQ;Novice;Abductors;Gluteus Medius;Gluteus Minimus;Tensor Fasciae Latae;Miniband;1;None;0;Walking;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Abduction;;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Miniband Feet Lateral Walk;https://youtu.be/GxqfnFHLH6c;https://youtu.be/GxqfnFHLH6c;Intermediate;Abductors;Gluteus Medius;Gluteus Minimus;Tensor Fasciae Latae;Miniband;1;None;0;Walking;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Abduction;;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Miniband Standing Glute Kickback;https://youtu.be/pdP0uJXvc44?si=lpmJ6krZopavsZrJ;https://youtu.be/pdP0uJXvc44?si=lpmJ6krZopavsZrJ;Novice;Glutes;Gluteus Maximus;;;Miniband;1;None;0;Standing;No Arms;Continuous;Hand Assisted;No Load;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Isolation;Unilateral;Bodybuilding
Barbell Hip Thrust;https://youtu.be/5S8SApGU_Lk;https://youtu.be/5S8SApGU_Lk;Novice;Glutes;Gluteus Maximus;Biceps Femoris;Quadriceps Femoris;Barbell;1;Bench (Flat);1;Bridge;Double Arm;Continuous;Pronated;Hip Crease;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Bodybuilding
Barbell Single Leg Hip Thrust;https://youtu.be/BMIy2gtjsTI?si=JnJL8ZiliAOk_Ac1;https://youtu.be/BMIy2gtjsTI?si=JnJL8ZiliAOk_Ac1;Intermediate;Glutes;Gluteus Maximus;Biceps Femoris;Obliques;Barbell;1;Bench (Flat);1;Single Leg Bridge;Double Arm;Continuous;Pronated;Hip Crease;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Unilateral;Bodybuilding
Stability Ball Single Leg Foot Elevated Glute Bridge;https://youtu.be/LSUPiOJOA6M;https://youtu.be/LSUPiOJOA6M;Intermediate;Glutes;Gluteus Maximus;Biceps Femoris;Obliques;Stability Ball;1;None;0;Single Leg Bridge;No Arms;Continuous;No Grip;No Load;Continuous;Foot Elevated;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Unilateral;Bodybuilding
Miniband Standing Hip Abduction;https://youtu.be/dZNkjqKNUUs;https://youtu.be/dZNkjqKNUUs;Novice;Abductors;Gluteus Medius;Gluteus Minimus;Tensor Fasciae Latae;Miniband;1;None;0;Standing;No Arms;Continuous;Hand Assisted;No Load;Continuous;No Elevation;Single Exercise;Hip Abduction;;;Frontal Plane;;;Lower Body;Other;Isolation;Bilateral;Bodybuilding
Miniband 3 Way Cha Cha;https://youtu.be/3SOcMYQWbDU;https://youtu.be/3SOcMYQWbDU;Beginner;Abductors;Gluteus Medius;Gluteus Minimus;Tensor Fasciae Latae;Miniband;1;None;0;Standing;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Abduction;Hip Extension;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge;https://youtu.be/5D-hSAvpFls?si=2EfexeMUADw51Wu2;https://youtu.be/5D-hSAvpFls?si=2EfexeMUADw51Wu2;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Sliders;1;Kettlebell ;1;Standing;Single Arm;Continuous;Neutral;Suitcase;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Contralateral;Bodybuilding
Cable Hip Abduction;https://youtu.be/saVSMtIttZE?si=qgSuj5ww8uiz2Wkd;https://youtu.be/saVSMtIttZE?si=qgSuj5ww8uiz2Wkd;Novice;Abductors;Gluteus Medius;Gluteus Minimus;Tensor Fasciae Latae;Cable;1;None;0;Standing;No Arms;Continuous;Hand Assisted;Other;Continuous;No Elevation;Single Exercise;Hip Abduction;;;Frontal Plane;;;Lower Body;Other;Isolation;Unilateral;Unsorted*
Miniband Wall Sit Hip Abduction;https://youtu.be/w5nYnnT1E9s;https://youtu.be/w5nYnnT1E9s;Novice;Quadriceps;Quadriceps Femoris;Gluteus Medius;;Miniband;1;None;0;Wall Sit;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Abduction;;;Frontal Plane;;;Lower Body;Other;Compound;Bilateral;Unsorted*
Slider Barbell Overhead Lateral Lunge;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Barbell;1;Standing;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press;https://youtu.be/4DUIY95jX6Y;https://youtu.be/4DUIY95jX6Y;Novice;Shoulders;Anterior Deltoids;Triceps Brachii;Rectus Abdominis;Dumbbell;1;None;0;Half Kneeling;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Contralateral;Bodybuilding
Barbell Shrug;0;0;Novice;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Barbell;1;None;0;Standing;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
Cable Face Pull;https://youtu.be/l3prcz-3FbI?si=qvb-6gLh-aavLGWK;https://youtu.be/l3prcz-3FbI?si=qvb-6gLh-aavLGWK;Novice;Shoulders;Posterior Deltoids;Infraspinatus;Teres Minor;Cable;1;None;0;Standing;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Shoulder External Rotation;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Unsorted*
Cable Seated Face Pull;https://youtu.be/4UhV4cCkugM;https://youtu.be/4UhV4cCkugM;Novice;Shoulders;Posterior Deltoids;Infraspinatus;Teres Minor;Cable;1;None;0;Seated Floor;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Shoulder External Rotation;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Unsorted*
Cable Guillotine Curl;https://youtu.be/KLM1hUecXbY;https://youtu.be/KLM1hUecXbY;Novice;Biceps;Biceps Brachii;Brachialis;Brachioradialis;Cable;1;None;0;Supine;Double Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
Cable Supine Bicep Curl;https://youtu.be/hBC7lPyEkVM;https://youtu.be/hBC7lPyEkVM;Novice;Biceps;Biceps Brachii;Brachialis;Brachioradialis;Cable;1;None;0;Supine;Double Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
Cable Straight Bar High Bicep Curl;https://youtu.be/xaMJYDzqTZg;https://youtu.be/xaMJYDzqTZg;Novice;Biceps;Biceps Brachii;Brachialis;Brachioradialis;Cable;1;None;0;Standing;Double Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
Double Dumbbell Spider Curl;https://youtu.be/9Dd8iiEUs_Q?si=juy6zuf-MVn-W8j8;https://youtu.be/9Dd8iiEUs_Q?si=juy6zuf-MVn-W8j8;Novice;Biceps;Biceps Brachii;Brachialis;Brachioradialis;Dumbbell;2;Bench (Incline);1;Prone;Double Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
EZ Bar Spider Curl;https://youtu.be/wtbHEt6Qi8g?si=wca7IhWcGWNDg2QX;https://youtu.be/wtbHEt6Qi8g?si=wca7IhWcGWNDg2QX;Novice;Biceps;Biceps Brachii;Brachialis;Brachioradialis;EZ Bar;1;Bench (Incline);1;Prone;Double Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
Stability Ball Cable Preacher Curl;https://youtu.be/uEjtuyC6-bc;https://youtu.be/uEjtuyC6-bc;Novice;Biceps;Biceps Brachii;Brachialis;Brachioradialis;Stability Ball;1;Cable;1;Prone;Double Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
Single Arm Dumbbell Standing Concentration Curl;https://youtu.be/fOV-z1wARvs?si=pxr3u-XyVhL6BlD3;https://youtu.be/fOV-z1wARvs?si=pxr3u-XyVhL6BlD3;Novice;Biceps;Biceps Brachii;Brachialis;Brachioradialis;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Frontal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
EZ Bar Wide Grip Bicep Curl;https://youtu.be/xUdw3EtnTLM?si=6zj86RhHEsTUIlf4;https://youtu.be/xUdw3EtnTLM?si=6zj86RhHEsTUIlf4;Novice;Biceps;Biceps Brachii;Brachialis;Brachioradialis;EZ Bar;1;None;0;Standing;Double Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
Single Arm Cable Standing High Bicep Curl;https://youtu.be/shIYFhPQVSo;https://youtu.be/shIYFhPQVSo;Novice;Biceps;Biceps Brachii;Brachialis;Brachioradialis;Cable;1;None;0;Standing;Single Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Elbow Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
EZ Bar Seated Overhead Tricep Extension;https://youtu.be/QGK3RQ_Eexc?si=2Go8XA5nbKIfwUBr;https://youtu.be/QGK3RQ_Eexc?si=2Go8XA5nbKIfwUBr;Novice;Triceps;Triceps Brachii;Anterior Deltoids;Rectus Abdominis;EZ Bar;1;Bench (Flat);1;Seated;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Elbow Extension;;;Sagittal Plane;;;Upper Body;Push;Isolation;Bilateral;Bodybuilding
EZ Bar Standing Overhead Tricep Extension;https://youtu.be/99qXUnFuQdM;https://youtu.be/99qXUnFuQdM;Novice;Triceps;Triceps Brachii ;Anterior Deltoids;Rectus Abdominis;EZ Bar;1;None;0;Standing;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Elbow Extension;;;Sagittal Plane;;;Upper Body;Push;Isolation;Bilateral;Bodybuilding
Barbell Thruster;https://youtu.be/aea5BGj9a8Y;https://youtu.be/aea5BGj9a8Y;Intermediate;Quadriceps;Quadriceps Femoris;Anterior Deltoids;;Barbell;1;None;0;Standing;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;Vertical Push;;Sagittal Plane;;;Full Body;Push;Compound;Bilateral;Bodybuilding
Bodyweight Diamond Push Up;https://youtu.be/XtU2VQVuLYs;https://youtu.be/XtU2VQVuLYs;Novice;Triceps;Triceps Brachii ;Pectoralis Major;Anterior Deltoids;Bodyweight;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
EZ Bar Lying Tricep Extension ;https://youtu.be/fUW3C1lVWkk?si=uxeyIMMcnTpM46fm;https://youtu.be/fUW3C1lVWkk?si=uxeyIMMcnTpM46fm;Novice;Triceps;Triceps Brachii ;;;EZ Bar;1;Bench (Flat);1;Supine;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Elbow Extension;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Bodybuilding
Cable Rope Overhead Tricep Extension;https://youtu.be/KvrP8c6eVBc?si=1EP-aMrXRtcbPO6b;https://youtu.be/KvrP8c6eVBc?si=1EP-aMrXRtcbPO6b;Novice;Triceps;Triceps Brachii ;Anterior Deltoids;Rectus Abdominis;Cable;1;None;0;Standing;Double Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Elbow Extension;;;Sagittal Plane;;;Upper Body;Push;Isolation;Bilateral;Bodybuilding
Single Arm Cable Reverse Grip Tricep Pushdown;https://youtu.be/pXd8vm-ZSOA?si=8_iZ3618RVjOmu3S;https://youtu.be/pXd8vm-ZSOA?si=8_iZ3618RVjOmu3S;Novice;Triceps;Triceps Brachii ;;;Cable;1;None;0;Standing;Single Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Elbow Extension;;;Sagittal Plane;;;Upper Body;Push;Isolation;Unilateral;Bodybuilding
